DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8239015,1,3,1,70,536.5163,1,7,3.0,2018.0,3,,6,2,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8239016,1,1,1,70,661.7871,2,27,5.0,1998.0,1,2.0,6,2,3,3,1,3.0,1.0,2.0,8.0,,,,,,
8239016,1,2,1,70,661.7871,1,31,5.0,1994.0,2,2.0,6,2,2,2,1,1.0,1.0,2.0,10.0,1423500.0,48.0,1.0,72.0,47.0,1.0
8239016,1,3,1,70,661.7871,2,1,1.0,2024.0,3,,6,1,1,1,1,3.0,,,,,,,,,
8239016,1,4,1,70,661.7871,1,20,6.0,2005.0,6,6.0,6,1,3,3,1,3.0,1.0,2.0,5.0,1240000.0,49.0,1.0,6.0,56.0,2.0
8239017,1,1,1,70,529.3026,1,39,8.0,1985.0,1,2.0,6,1,3,2,1,3.0,1.0,2.0,3.0,1600000.0,60.0,4.0,60.0,47.0,2.0
8239017,1,2,1,70,529.3026,2,31,3.0,1994.0,2,2.0,6,1,2,2,1,3.0,1.0,2.0,5.0,,44.0,6.0,48.0,47.0,2.0
8239017,1,3,1,70,529.3026,2,15,6.0,2010.0,3,6.0,6,2,1,1,1,3.0,1.0,1.0,5.0,,,,,,
8239017,1,4,1,70,529.3026,1,7,2.0,2018.0,3,,6,2,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8239018,1,1,1,70,624.8358,1,46,8.0,1978.0,1,3.0,6,1,3,2,1,2.0,1.0,2.0,8.0,0.0,24.0,4.0,24.0,1.0,3.0
8239018,1,2,1,70,624.8358,2,36,7.0,1988.0,2,3.0,5,2,3,2,1,3.0,1.0,2.0,5.0,,,,,,
8239018,1,3,1,70,624.8358,1,13,3.0,2012.0,3,6.0,6,2,1,1,1,2.0,1.0,1.0,4.0,,,,,,
8239018,1,4,1,70,624.8358,2,7,7.0,2017.0,3,,6,2,1,1,1,2.0,1.0,1.0,3.0,,,,,,
8239019,1,1,1,70,368.5505,2,49,6.0,1976.0,1,4.0,1,1,2,2,1,3.0,1.0,2.0,3.0,680000.0,45.0,3.0,60.0,97.0,2.0
8239019,1,2,1,70,368.5505,2,15,12.0,2009.0,3,6.0,1,1,2,1,1,3.0,1.0,1.0,4.0,,,,,,
8239019,1,3,1,70,368.5505,2,24,7.0,2000.0,3,4.0,1,1,2,1,1,3.0,1.0,1.0,5.0,920000.0,48.0,3.0,36.0,97.0,2.0
8239019,1,4,1,70,368.5505,1,5,9.0,2019.0,8,,6,1,2,1,1,3.0,2.0,1.0,2.0,,,,,,
8239019,1,5,1,70,368.5505,1,4,12.0,2020.0,8,,6,1,2,1,1,3.0,2.0,2.0,1.0,,,,,,
8239020,1,1,1,70,661.7871,1,49,7.0,1975.0,1,2.0,6,1,2,3,1,3.0,1.0,2.0,3.0,900000.0,49.0,4.0,48.0,49.0,2.0
8239020,1,2,1,70,661.7871,2,44,6.0,1980.0,2,2.0,6,1,2,2,1,3.0,1.0,2.0,3.0,,,,,,
8239020,1,3,1,70,661.7871,2,14,9.0,2010.0,3,6.0,6,1,1,1,1,3.0,1.0,1.0,4.0,,,,,,
8239020,1,4,1,70,661.7871,1,20,8.0,2004.0,3,1.0,6,1,1,1,1,3.0,1.0,2.0,4.0,700000.0,40.0,4.0,30.0,96.0,2.0
8239021,1,1,1,70,583.6891,1,51,4.0,1974.0,1,3.0,6,1,3,2,1,3.0,1.0,2.0,5.0,1100000.0,50.0,4.0,264.0,49.0,2.0
8239021,1,2,1,70,583.6891,2,47,9.0,1977.0,2,3.0,6,2,3,2,1,3.0,1.0,2.0,4.0,,,,,,
